id;created_at;text;ticker
830153;2020-07-09 14:39:14+00:00;$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020 https://t.co/y7yYvXOVYJ #madtweets #stocks #cnbc #AMD;AMD
223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;AMZN
223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;AAPL
223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;AMD
223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;AAL
223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;CBSH
739221;2020-07-01 11:30:04+00:00;Chile: On The Road to Recovery in 2021? https://t.co/xp152EE1hm $AAPL $TSLA $FB https://t.co/cHvzQi7Fv3;AAPL
67928;2020-04-15 16:46:49+00:00;@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp, $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT;AMZN
67928;2020-04-15 16:46:49+00:00;@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp, $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT;AAPL
67928;2020-04-15 16:46:49+00:00;@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp, $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT;AMAT
538661;2020-06-16 18:29:18+00:00;#OfficeSupply orders up significantly as #USA shifted to #workfromhome.  See more data: https://t.co/W29QPIicmd  #Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo;AMZN
538661;2020-06-16 18:29:18+00:00;#OfficeSupply orders up significantly as #USA shifted to #workfromhome.  See more data: https://t.co/W29QPIicmd  #Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo;EBAY
468685;2020-06-09 13:53:57+00:00;$AMZN nice little coiling here.;AMZN
36429;2020-04-13 18:12:46+00:00;RT @vincent13031925: Biggest mistakes of the century:  From before,  Apple $AAPL is only a PC maker  Amazon $AMZN is only a bookstore   Goo…;AAPL
36429;2020-04-13 18:12:46+00:00;RT @vincent13031925: Biggest mistakes of the century:  From before,  Apple $AAPL is only a PC maker  Amazon $AMZN is only a bookstore   Goo…;AMZN
100306;2020-04-17 14:54:41+00:00;Why Amazon is thriving when retail sector takes a severe beating from Covid-19... https://t.co/GzEIw6uTWS #retail #Walmart #Amazon $WMT $AMZN $TGT $DG $M #Macy's #Dollar #General #Coronavirus #Covid-19 #Pandemic #shutdown #epidemic https://t.co/8b0fIxe4GC;AMZN
472181;2020-06-09 07:44:58+00:00;Remember the turn? Now start preparing for the greatest market crash in history. I say it like I see it.   $TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/OhukyvRnIm;AMZN
702826;2020-06-29 15:55:20+00:00;$AMZN Amazon to Pay $500M Bonuses to Employees Who Worked in June  https://t.co/KBf02J6Sk1;AMZN
270008;2020-05-04 12:58:35+00:00;@CNBCFastMoney $AAPL-- DUMP DUMP. OVERVALUED AND EXPENSIVE JUNK.;AAPL
607666;2020-06-22 18:40:17+00:00;Apple Option Alert: Jul 17 $380 Calls Sweep (6) below Bid!: 450 @ $3.652 vs 3833 OI, Earnings 7/28 After Close [est] Ref= $358.05 $AAPL;AAPL
929773;2020-07-16 16:11:19+00:00;Picked $amzn 3300 for earnings around 22. Should work If it runs into earnings!;AMZN
789540;2020-07-06 02:31:16+00:00;$GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA $TWTR $ZM $BABA $FB $DOW $MSFT $QQQ $BB To enhance your experience in trading and get instant help click here https://t.co/waJXnpA7xo https://t.co/p94fTX4VO5;AAPL
